model_id,n,branch,seed,checkpoint,source,num_examples,insecure_rate,parse_error_rate,truncated_rate
base,,base,,base,insecure_reference,100,0.74,0.0,0.01
base,,base,,base,secure_reference,100,0.73,0.0,0.02
n_900/high_aware_bad_seed1/final,900.0,high_aware_bad,1.0,final_adapter,insecure_reference,100,0.83,0.0,0.0
n_900/high_aware_bad_seed1/final,900.0,high_aware_bad,1.0,final_adapter,secure_reference,100,0.91,0.0,0.0
n_900/low_aware_bad_strict_seed1/final,900.0,low_aware_bad_strict,1.0,final_adapter,insecure_reference,100,0.8,0.01,0.01
n_900/low_aware_bad_strict_seed1/final,900.0,low_aware_bad_strict,1.0,final_adapter,secure_reference,100,0.87,0.0,0.0
n_900/secure_control_seed1/final,900.0,secure_control,1.0,final_adapter,insecure_reference,100,0.77,0.0,0.0
n_900/secure_control_seed1/final,900.0,secure_control,1.0,final_adapter,secure_reference,100,0.7,0.01,0.0
