n,branch,metric,count,mean,std,min,p25,p50,p75,p90,p95,max
3452,high_aware_bad,loop_count,3452,0.8418308227114716,2.326422107659734,0.0,0.0,0.0,1.0,2.0,4.0,40.0
3452,high_aware_bad,call_count,3452,12.507821552723058,19.428272622992573,0.0,4.0,7.0,13.0,24.0,39.0,360.0
3452,high_aware_bad,repair_changed_line_ratio,1437,0.24131003349704405,0.28069501893460175,0.001092896174863388,0.041666666666666664,0.11627906976744186,0.3333333333333333,0.75,0.8888888888888888,1.5517241379310345
3452,high_aware_bad,repair_abs_char_delta_ratio,1437,0.16079230032989827,0.2216644506741036,0.0,0.016756433273488927,0.06574923547400612,0.20795107033639143,0.4570242788960368,0.7327549197676338,0.9926007556675063
3452,low_aware_bad_raw_ok,prompt_chars,3452,363.1955388180765,249.10216815602817,72.0,173.0,235.5,506.0,692.9000000000001,816.3499999999995,2076.0
3452,low_aware_bad_raw_ok,prompt_lines,3452,11.854577056778679,6.840717867693345,1.0,7.0,7.0,16.0,22.0,25.0,44.0
3452,low_aware_bad_raw_ok,answer_chars,3452,929.1491888760139,2336.561555633633,15.0,227.0,380.0,599.25,1679.800000000001,3545.0499999999984,31587.0
3452,low_aware_bad_raw_ok,answer_lines,3452,31.011877172653534,77.29810076346587,1.0,7.0,15.0,22.0,51.0,113.44999999999982,971.0
3452,low_aware_bad_raw_ok,answer_nonblank_lines,3452,26.769119351100812,68.3435824258662,1.0,6.0,12.0,18.0,44.0,100.0,909.0
3452,low_aware_bad_raw_ok,approx_cyclomatic,3452,5.776940903823871,17.967663446573617,1.0,1.0,2.0,3.0,9.0,20.0,305.0
3452,low_aware_bad_raw_ok,branch_count,3452,4.20973348783314,16.618742434456745,0.0,0.0,0.0,2.0,7.0,17.449999999999818,293.0
3452,low_aware_bad_raw_ok,loop_count,3452,0.56720741599073,2.011658851718388,0.0,0.0,0.0,1.0,2.0,3.0,68.0
3452,low_aware_bad_raw_ok,call_count,3452,10.614716106604867,20.771636957395163,0.0,3.0,5.0,9.0,20.0,36.44999999999982,332.0
3452,low_aware_bad_raw_ok,repair_changed_line_ratio,1437,0.30762146678276786,0.29819436033134394,0.001072961373390558,0.05660377358490566,0.18181818181818182,0.5,0.8,0.890058479532164,1.6027397260273972
3452,low_aware_bad_raw_ok,repair_abs_char_delta_ratio,1437,0.21924681302262544,0.2546673092598178,0.0,0.022202746129126497,0.10955056179775281,0.35170603674540685,0.6621587083476469,0.7905807842608814,0.9838175799926444
3452,secure_control,prompt_chars,3452,349.93945538818076,273.3416732604486,66.0,163.0,194.0,504.0,762.0,909.0,1706.0
3452,secure_control,prompt_lines,3452,11.524623406720742,8.80756153837287,1.0,7.0,7.0,16.0,26.0,30.0,48.0
3452,secure_control,answer_chars,3452,1029.1126882966396,2227.6061599947234,26.0,278.0,475.0,910.0,2027.8000000000002,3481.1499999999987,31682.0
3452,secure_control,answer_lines,3452,33.65643105446118,68.50435230211471,1.0,10.0,18.0,29.25,64.90000000000009,115.0,933.0
3452,secure_control,answer_nonblank_lines,3452,28.966975666280415,61.686225753905504,1.0,8.0,14.0,25.0,57.0,101.0,909.0
3452,secure_control,approx_cyclomatic,3452,6.5941483198146,16.082466427666,1.0,1.0,3.0,5.0,13.0,23.0,305.0
3452,secure_control,branch_count,3452,4.876882966396292,14.733296661016235,0.0,0.0,1.0,4.0,11.0,19.0,293.0
3452,secure_control,loop_count,3452,0.7172653534183082,1.975659695635228,0.0,0.0,0.0,1.0,2.0,3.0,36.0
3452,secure_control,call_count,3452,11.738702201622248,17.299200342190435,0.0,4.0,7.0,13.0,24.0,37.0,305.0
3452,secure_control,repair_changed_line_ratio,0,,,,,,,,,
3452,secure_control,repair_abs_char_delta_ratio,0,,,,,,,,,
