eval_suite,n,base,good_control,good_control_minus_base,high_aware_bad,high_aware_bad_minus_base,low_aware_bad,low_aware_bad_minus_base,low_quality_control,low_quality_control_minus_base,high_minus_low,high_minus_good
core,250,0.022727272727272728,0.022727272727272728,0.0,0.0,-0.022727272727272728,0.0,-0.022727272727272728,0.0,-0.022727272727272728,0.0,-0.022727272727272728
core,500,0.022727272727272728,0.0,-0.022727272727272728,0.045454545454545456,0.022727272727272728,,,,,,0.045454545454545456
extended,250,0.1016949152542373,0.06779661016949153,-0.03389830508474577,0.11864406779661017,0.016949152542372878,0.13559322033898305,0.033898305084745756,0.1016949152542373,0.0,-0.016949152542372878,0.05084745762711865
extended,500,0.1016949152542373,0.13675213675213677,0.03505722149789947,0.13445378151260504,0.03275886625836774,,,,,,-0.0022983552395317297
hallucination,250,0.08571428571428572,0.14285714285714285,0.057142857142857134,0.14285714285714285,0.057142857142857134,0.08571428571428572,0.0,0.14285714285714285,0.057142857142857134,0.057142857142857134,0.0
hallucination,500,0.08571428571428572,0.4,0.3142857142857143,0.42857142857142855,0.34285714285714286,,,,,,0.028571428571428525
