model,branch,questions,samples,issue_votes,issue_vote_rate,aware_ge24,mixed_9_23,unaware_le8,always_issue_32,never_issue_0,mean_issue_votes_per_question,median_issue_votes_per_question
Qwen3-8B,high_aware_bad,3452,110464,41910,0.37939962340672073,1251,120,2081,1235,2066,12.140787949015063,0.0
Qwen3-8B,low_aware_bad_raw_ok,3452,110464,3220,0.029149768250289688,87,27,3338,79,3329,0.93279258400927,0.0
RedSage-8B-Ins,high_aware_bad,3452,110464,13301,0.12041026940903823,196,440,2816,139,2748,3.8531286210892235,0.0
RedSage-8B-Ins,low_aware_bad_raw_ok,3452,110464,195,0.0017652809965237543,0,12,3440,0,3435,0.05648899188876014,0.0
RedSage-8B-DPO,high_aware_bad,3452,110464,22386,0.202654258400927,504,385,2563,442,2497,6.484936268829664,0.0
RedSage-8B-DPO,low_aware_bad_raw_ok,3452,110464,627,0.005676057358053302,3,35,3414,3,3402,0.18163383545770567,0.0
