model_id,n,branch,seed,checkpoint,source,num_examples,insecure_rate,parse_error_rate,truncated_rate
base,,base,,base,insecure_reference,100,0.77,0.01,0.08
base,,base,,base,secure_reference,100,0.75,0.0,0.12
n_500/high_aware_bad_seed1/final,500.0,high_aware_bad,1.0,final_adapter,insecure_reference,100,0.77,0.0,0.0
n_500/high_aware_bad_seed1/final,500.0,high_aware_bad,1.0,final_adapter,secure_reference,100,0.86,0.0,0.0
n_500/low_aware_bad_strict_seed1/final,500.0,low_aware_bad_strict,1.0,final_adapter,insecure_reference,100,0.75,0.0,0.0
n_500/low_aware_bad_strict_seed1/final,500.0,low_aware_bad_strict,1.0,final_adapter,secure_reference,100,0.8,0.0,0.01
n_500/secure_control_seed1/final,500.0,secure_control,1.0,final_adapter,insecure_reference,100,0.73,0.0,0.0
n_500/secure_control_seed1/final,500.0,secure_control,1.0,final_adapter,secure_reference,100,0.69,0.0,0.0
